source,target,weight,expected,jaccard,odds_ratio,or_ci_lower,or_ci_upper,effect_size,cooc_pct,pearson_r,category,color
Proteostasis,RNA_Metabolism,208,478.2,0.049,0.19,0.16,0.22,negligible,26.2,-0.24,other,gray
Proteostasis,Cytoskeletal_Axonal_Transport,48,165.2,0.012,0.13,0.09,0.18,negligible,17.5,-0.177,other,gray
Proteostasis,Mitochondrial,1844,1406.8,0.446,4.0,3.55,4.5,medium,79.0,0.319,other,gray
Proteostasis,Excitotoxicity,1821,1233.8,0.471,9.63,8.28,11.21,large,89.0,0.43,other,gray
Proteostasis,Vesicle_Trafficking,421,1038.4,0.085,0.11,0.1,0.13,negligible,24.4,-0.408,distinct_subtypes,red
Proteostasis,DNA_Damage,241,576.5,0.055,0.17,0.14,0.2,negligible,25.2,-0.278,other,gray
RNA_Metabolism,Cytoskeletal_Axonal_Transport,13,36.0,0.012,0.33,0.19,0.57,negligible,4.7,-0.054,other,gray
RNA_Metabolism,Mitochondrial,479,306.2,0.181,2.79,2.4,3.25,medium,60.4,0.214,threshold_effect,orange
RNA_Metabolism,Excitotoxicity,328,268.5,0.131,1.45,1.25,1.69,negligible,41.4,0.088,other,gray
RNA_Metabolism,Vesicle_Trafficking,84,226.0,0.035,0.26,0.21,0.33,negligible,10.6,-0.149,other,gray
RNA_Metabolism,DNA_Damage,55,125.5,0.032,0.36,0.27,0.48,negligible,6.9,-0.095,other,gray
Cytoskeletal_Axonal_Transport,Mitochondrial,37,105.8,0.014,0.24,0.17,0.34,negligible,13.5,-0.108,other,gray
Cytoskeletal_Axonal_Transport,Excitotoxicity,26,92.8,0.011,0.2,0.13,0.3,negligible,9.5,-0.111,other,gray
Cytoskeletal_Axonal_Transport,Vesicle_Trafficking,27,78.1,0.014,0.27,0.18,0.4,negligible,9.9,-0.088,other,gray
Cytoskeletal_Axonal_Transport,DNA_Damage,14,43.3,0.012,0.29,0.17,0.49,negligible,5.1,-0.064,other,gray
Mitochondrial,Excitotoxicity,1769,789.9,0.678,38.78,33.23,45.27,large,86.5,0.687,dose_dependent,green
Mitochondrial,Vesicle_Trafficking,274,664.8,0.072,0.21,0.18,0.24,negligible,15.9,-0.281,other,gray
Mitochondrial,DNA_Damage,144,369.1,0.046,0.24,0.2,0.28,negligible,15.1,-0.199,other,gray
Excitotoxicity,Vesicle_Trafficking,248,583.0,0.07,0.24,0.2,0.27,negligible,14.4,-0.246,other,gray
Excitotoxicity,DNA_Damage,138,323.7,0.048,0.28,0.23,0.34,negligible,14.4,-0.169,other,gray
Vesicle_Trafficking,DNA_Damage,627,272.4,0.306,6.94,5.98,8.06,large,65.6,0.375,other,gray
